symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
ETHBTC,-0.00062000,-1.046,0.05886387,0.05928000,0.05866000,0.15780000,0.05865000,46.26930000,0.05866000,33.65070000,0.05928000,0.05933000,0.05860000,15561.85750000,916.03120573,1696598668825,1696685068825,423658908,423681671,22764
LTCBTC,-0.00001900,-0.803,0.00235476,0.00236700,0.00234700,3.50100000,0.00234600,153.00500000,0.00234700,46.66800000,0.00236600,0.00237400,0.00233300,24925.76300000,58.69419057,1696598670698,1696685070698,93721574,93728852,7279
BNBBTC,-0.00008900,-1.155,0.00763684,0.00770700,0.00761700,5.46900000,0.00761700,29.42900000,0.00761800,33.84200000,0.00770600,0.00770600,0.00758600,16414.60500000,125.35565120,1696598667834,1696685067834,227581488,227600656,19169
NEOBTC,-0.00000280,-1.087,0.00025541,0.00025720,0.00025480,44.33000000,0.00025480,834.99000000,0.00025530,200.18000000,0.00025760,0.00025800,0.00025310,8154.28000000,2.08265988,1696598664440,1696685064440,45550770,45551495,726
QTUMETH,0.00001000,0.730,0.00138205,0.00136300,0.00137900,18.40000000,0.00138300,44.00000000,0.00138700,57.00000000,0.00136900,0.00139100,0.00136900,60.20000000,0.08319930,1696598610263,1696685010263,5403535,5403543,9
EOSETH,0.00000260,0.752,0.00035001,0.00034640,0.00034820,20.00000000,0.00034800,13.10000000,0.00034850,1469.10000000,0.00034560,0.00035540,0.00034480,96963.80000000,33.93821957,1696598665232,1696685065232,23501104,23501514,411
SNTETH,0.00000035,2.417,0.00001478,0.00001454,0.00001483,621.00000000,0.00001476,4130.00000000,0.00001483,452.00000000,0.00001448,0.00001508,0.00001436,1382250.00000000,20.43240302,1696598353208,1696684753208,3916221,3916364,144
BNTETH,0.00000200,0.831,0.00024256,0.00023980,0.00024280,11.70000000,0.00024270,251.20000000,0.00024370,11.70000000,0.00024080,0.00024370,0.00024080,415.50000000,0.10078480,1696598608310,1696685008310,2236301,2236313,13
BCCBTC,0.00000000,0.000,0.00000000,0.07908100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573255866,1689659655866,-1,-1,0
GASBTC,0.00000120,1.437,0.00008427,0.00008370,0.00008470,5.40000000,0.00008450,5.50000000,0.00008470,35.50000000,0.00008350,0.00008560,0.00008260,10999.80000000,0.92698087,1696598667829,1696685067829,20840962,20842393,1432
BNBETH,-0.00010000,-0.077,0.12970681,0.13010000,0.12990000,27.42300000,0.12980000,33.32900000,0.12990000,7.94100000,0.13000000,0.13040000,0.12890000,6196.53800000,803.73315400,1696598637436,1696685037436,56412258,56417965,5708
BTCUSDT,564.28000000,2.060,27884.66106034,27398.27000000,27962.55000000,0.00030000,27962.54000000,8.47249000,27962.55000000,1.73056000,27398.27000000,28295.00000000,27376.11000000,28746.22107000,801578631.30246070,1696598671269,1696685071269,3230897364,3232008902,1111539
ETHUSDT,16.32000000,1.005,1642.57926214,1623.80000000,1640.13000000,1.21620000,1640.12000000,119.85770000,1640.13000000,24.92810000,1623.81000000,1662.00000000,1623.75000000,172481.29780000,283314202.87403600,1696598671275,1696685071275,1205784790,1206241646,456857
HSRBTC,0.00000000,0.000,0.00000000,0.00041400,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573255866,1689659655866,-1,-1,0
OAXETH,0.00000000,0.000,0.00000000,0.00017780,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573255866,1689659655866,-1,-1,0
DNTETH,0.00000000,0.000,0.00000000,0.00002801,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573255866,1689659655866,-1,-1,0
MCOETH,0.00000000,0.000,0.00000000,0.00577200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573255866,1689659655866,-1,-1,0
ICNETH,0.00000000,0.000,0.00000000,0.00166300,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573255866,1689659655866,-1,-1,0
MCOBTC,0.00000000,0.000,0.00000000,0.00021140,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573255866,1689659655866,-1,-1,0
WTCBTC,-0.00000007,-1.304,0.00000532,0.00000537,0.00000530,381.00000000,0.00000529,1016.00000000,0.00000531,308.00000000,0.00000537,0.00000542,0.00000521,111924.00000000,0.59528762,1696598650862,1696685050862,20235872,20236140,269
WTCETH,0.00000000,0.000,0.00000000,0.00023700,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573255866,1689659655866,-1,-1,0
LRCBTC,-0.00000009,-1.417,0.00000633,0.00000635,0.00000626,272.00000000,0.00000626,7564.00000000,0.00000628,10070.00000000,0.00000635,0.00000636,0.00000625,265529.00000000,1.68060631,1696598530511,1696684930511,22124288,22124515,228
LRCETH,-0.00000021,-0.196,0.00010705,0.00010704,0.00010686,160.00000000,0.00010674,571.00000000,0.00010719,172.00000000,0.00010707,0.00010777,0.00010678,948.00000000,0.10148559,1696598528775,1696684928775,4719690,4719703,14
QTUMBTC,0.00000040,0.495,0.00008106,0.00008080,0.00008120,129.60000000,0.00008110,116.40000000,0.00008130,1.30000000,0.00008080,0.00008160,0.00008040,3052.90000000,0.24747104,1696598671345,1696685071345,24084848,24085136,289
YOYOBTC,0.00000000,0.000,0.00000000,0.00000008,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573255866,1689659655866,-1,-1,0
OMGBTC,0.00000000,0.000,0.00000000,0.00003080,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573255866,1689659655866,-1,-1,0
OMGETH,0.00000000,0.000,0.00000000,0.00079100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573255866,1689659655866,-1,-1,0
ZRXBTC,-0.00000007,-1.054,0.00000660,0.00000663,0.00000657,22.00000000,0.00000657,11601.00000000,0.00000660,223.00000000,0.00000664,0.00000672,0.00000655,142878.00000000,0.94320990,1696598636974,1696685036974,25408851,25409113,263
ZRXETH,0.00000000,0.000,0.00000000,0.00009940,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573255866,1689659655866,-1,-1,0
STRATBTC,0.00000000,0.000,0.00000000,0.00003085,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573255866,1689659655866,-1,-1,0
STRATETH,0.00000000,0.000,0.00000000,0.00105300,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573255866,1689659655866,-1,-1,0
